CC(C)I.CNCc1ccccc1.O=CC1CCC1|8>>CC(C)C(C1CCC1)N(C)Cc1ccccc1
COc1ccccc1NOC(=O)c1ccccc1.O=C(O)C1CCCCC1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|23>>COc1ccccc1NS(=O)(=O)C1CCCCC1
C=CC=C.CC(C)=CCOc1ccc(-c2ccccc2)cc1Br.Cc1ccc(S(=O)O[Na])cc1|0>>Cc1ccc(S(=O)(=O)C/C=C/CC(C)(C)C2COc3ccc(-c4ccccc4)cc32)cc1
C=Cc1ccc(-c2ccccc2)cc1.C[Si](C)(C)N=[N+]=[N-].O=O|21>>[N-]=[N+]=NCC(O)c1ccc(-c2ccccc2)cc1
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.O=C(O)c1ccccc1|9>>N#CCCCC[C@H](/C=C/c1ccccc1)OC(=O)c1ccccc1
BrC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.C=C(c1ccccc1)c1ccccc1N.O=C=O|0>>O=C1Nc2ccccc2C(CC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)(c2ccccc2)O1
C#Cc1ccccc1.Cc1ccc(S(=O)(=O)N/N=C/c2cc3ccccc3cc2O)cc1.O=O|3>>O=c1oc2cc3ccccc3cc2cc1-c1ccccc1
ICCCCn1c2ccccc2c2ccccc21.O=C(/C=C/c1ccccc1)c1ccccc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|45>>O=C(CC(c1ccccc1)S(=O)(=O)CCCCn1c2ccccc2c2ccccc21)c1ccccc1
Cc1ccc(C(=O)CCCC(=O)O)s1.O=C(ON(Cc1ccccc1)Cc1ccccc1)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|22>>Cc1ccc(C(=O)CCCS(=O)(=O)N(Cc2ccccc2)Cc2ccccc2)s1
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)ON=C1CCC1.C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@]4(C)C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C|9>>C[C@H](CCC(=O)O[C@@H](/C=C/c1ccccc1)CCCCC#N)[C@H]1CC[C@H]2[C@@H]3CC[C@]4(C)C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
C=CCCn1c2ccccc2c2ccccc21.O=S(=O)(/C=C/c1ccccc1)c1ccccc1.O=S(O[Na])C(F)(F)F|2>>FC(F)(F)CC(/C=C/c1ccccc1)CCn1c2ccccc2c2ccccc21
C#Cc1ccc(OC)c(OC)c1.CCOC(=O)C(Br)C(=O)OCC.COc1ccc(C#N)cc1.O|0>>CCOC(=O)C1(C(=O)OCC)C=C(c2ccc(OC)c(OC)c2)C(Nc2ccc(OC)cc2)O1
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.CC(=O)c1ccc(Br)cc1.O=S(O[Na])C1CC1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2ccc(C(C)=O)cc2)C(CS(=O)(=O)C2CC2)C1
C#Cc1ccccc1.Clc1cccc2cc[nH]c12.O=O|11>>O=C(c1ccccc1)C(c1c[nH]c2c(Cl)cccc12)c1c[nH]c2c(Cl)cccc12
C#Cc1ccccc1C(F)(F)F.Cc1ccc(S(=O)(=O)N/N=C/c2ccccc2O)cc1.O=O|3>>O=c1oc2ccccc2cc1-c1ccccc1C(F)(F)F
F[B-](F)(F)F.Fc1ccc(S)cc1.N#[N+]c1ccccc1.O=S(O[Na])OS(=O)O[Na]|0>>O=S(=O)(Sc1ccc(F)cc1)c1ccccc1
C=Cc1ccc(C(C)(C)C)cc1.COc1cc(OC)cc(OC)c1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F|0>>COc1cc(OC)c(C(CC(F)(F)F)c2ccc(C(C)(C)C)cc2)c(OC)c1
CC(C)I.CCOC(=O)C(=O)CCc1ccccc1.NC1CCC(F)(F)CC1|17>>CCOC(=O)[C@@](CCc1ccccc1)(NC1CCC(F)(F)CC1)C(C)C
C#Cc1ccc(CCC)cc1.Nc1ccccn1.O=O.Sc1ccccc1|0>>CCCc1ccc(C(=O)C(Nc2ccccn2)Sc2ccccc2)cc1
C=CCOc1ccccc1C(=C)c1ccccc1.CC(C)(C)c1ccc(C2CC(=NOC(=O)c3ccc(C(F)(F)F)cc3)C2)cc1.O=S(O[K])OS(=O)O[K]|0>>CC(C)(C)c1ccc(C(CC#N)CS(=O)(=O)CC2C=C(c3ccccc3)c3ccccc3OC2)cc1
Nc1ccccc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.[C-]#[O+]|0>>N#CCCCC(=O)Nc1ccccc1
C=Cc1ccccc1O.CC(C)O[n+]1ccccc1.COc1ccccc1C(=O)C=S(C)C.O=S(=O)([O-])C(F)(F)F|6>>COc1ccccc1C(=O)C1Oc2ccccc2[C@@H]1COC(C)C
C=Cc1ccc(OC)cc1.CCOC(=O)C(F)(F)Br.COc1ccc2[nH]ccc2c1|0>>CCOC(=O)C(F)(F)CC(c1ccc(OC)cc1)c1c[nH]c2ccc(OC)cc12
C1CCNCC1.Cc1ccccc1Br.[C-]#[O+]|4>>Cc1ccccc1C(=O)N1CCCCC1
C=C(C)c1ccccc1.CC[N+](CC)=C(C)/N=S(/c1ccccc1)C(F)(F)Br.CO.O=S(=O)([O-])C(F)(F)F|0>>COC(C)(CC(F)(F)Br)c1ccccc1
C/C=C/c1ccccc1.O=O.S=C=S|52>>CC1SC(=S)OC1c1ccccc1
C=C(CS(=O)(=O)c1ccccc1)c1ccccc1.CC(C)(C)c1ccc(N)cc1.COc1ccc(C=O)cc1|10>>C=C(C[C@H](Nc1ccc(C(C)(C)C)cc1)c1ccc(OC)cc1)c1ccccc1
C=Cc1ccc(OC)c(OC)c1.Nc1ccccc1.O=C1c2ccccc2C(=O)N1OC(=O)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3|33>>COc1ccc(C(CC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)Nc2ccccc2)cc1OC
F[B-](F)(F)C1CCCC1.Fc1ccc(C#CBr)cc1.O=S(O[Na])OS(=O)O[Na].[K+]|50>>O=S(=O)(C#Cc1ccc(F)cc1)C1CCCC1
C=CC/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1ccc(C(C)(C)C)cc1.C=Cc1ccccn1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|0>>Cc1ccc(S(=O)(=O)N2N=C(c3ccc(C(C)(C)C)cc3)CC2CS(=O)(=O)CCc2ccccn2)cc1
CC(C)I.CCCC=O.c1ccc(CNCCCn2ccnc2)cc1|8>>CCCC(C(C)C)N(CCCn1ccnc1)Cc1ccccc1
C#Cc1ccccc1.Cc1ccc(S(=O)(=O)O[IH2](N=S(=O)(c2ccccc2)c2ccccc2)c2ccccc2)cc1.O=O|0>>O=C(N=S(=O)(c1ccccc1)c1ccccc1)C(=O)c1ccccc1
C=C(c1ccc(OC)cc1)c1ccc(OC)cc1.CS(=O)(=O)N1CCC([n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)CC1.F[B-](F)(F)F|0>>COc1ccc(C(=CC2CCN(S(C)(=O)=O)CC2)c2ccc(OC)cc2)cc1
C/C=C\c1ccccc1.CCOC(=O)C(F)(F)Br.CS(C)=O|1>>CCOC(=O)C(F)(F)C(C)C(=O)c1ccccc1
C/C=C/c1ccccc1.CO.[N-]=[N+]=N[IH2]1OC(=O)c2ccccc21|0>>COC(c1ccccc1)C(C)N=[N+]=[N-]
C=Cc1cc(OC)c(OC)c(OC)c1.Cc1ccc(S)cc1.O=C=O|27>>COc1cc(C(CC(=O)O)Sc2ccc(C)cc2)cc(OC)c1OC
C=COCC.CCOC(=O)CC(=O)c1ccc(-c2ccccc2)cc1.c1ccc2cnccc2c1|0>>CCOC(=O)C(CC(OCC)c1nccc2ccccc12)C(=O)c1ccc(-c2ccccc2)cc1
C=Cc1ccc(C(C)(C)C)cc1.Cc1ccc(S(=O)O[Na])cc1.N#Cc1ccncc1|0>>Cc1ccc(S(=O)(=O)CC(c2ccncc2)c2ccc(C(C)(C)C)cc2)cc1
C=C(C)c1ccc(F)cc1.CC#N.[N-]=[N+]=N[IH2]1OC(=O)c2ccccc21|0>>CC(=O)N(C(=O)c1ccccc1I)C(C)(CN=[N+]=[N-])c1ccc(F)cc1
CC(C)I.CNCc1ccccc1.O=CC1CCN(C(=O)OCc2ccccc2)CC1|8>>CC(C)C(C1CCN(C(=O)OCc2ccccc2)CC1)N(C)Cc1ccccc1
NN1CCOCC1.O=S(=O)(O[IH2](c1ccccc1)c1ccccc1)C(F)(F)F.O=S(O[K])OS(=O)O[K]|2>>O=S(=O)(NN1CCOCC1)c1ccccc1
CC(C)(C)OC(=O)C1CC(=NOC(=O)c2ccc(C(F)(F)F)cc2)C1.Nc1ccccc1.[C-]#[O+]|0>>CC(C)(C)OC(=O)C(CC#N)CC(=O)Nc1ccccc1
C=C(c1ccc(Cl)cc1)c1ccccn1.CCCC=O.c1ccc(CNCc2ccccc2)cc1|0>>CCCC(CC(c1ccc(Cl)cc1)c1ccccn1)N(Cc1ccccc1)Cc1ccccc1
C=Cc1ccccc1C(=O)O.CC#N.COC(=O)c1sccc1[N+]#N.F[B-](F)(F)F.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|1>>COC(=O)c1sccc1S(=O)(=O)CC1c2ccccc2C(=O)N1C(C)=O
C=C(C)c1ccc2ccccc2c1.Cc1ccc(CS(=O)(=O)NN)cc1.O=O|0>>Cc1ccc(CS(=O)(=O)CC(C)(O)c2ccc3ccccc3c2)cc1
C=Cc1ccc2ccccc2c1.CC(C)(C)c1ccc(C2CC(=NOC(=O)c3ccc(C(F)(F)F)cc3)C2)cc1.OB(O)c1ccccc1|18>>CC(C)(C)c1ccc(C(CC#N)CCC(c2ccccc2)c2ccc3ccccc3c2)cc1
CCOC(=O)C(Br)C(=O)OCC.COC(=O)/C=C\Nc1ccccc1.O=C1C=CC(=O)N1C1CCCCC1|42>>CCOC(=O)C(C(=O)OCC)C(C(=O)OC)c1nc2ccccc2c2c1C(=O)N(C1CCCCC1)C2=O
C=COCC.CCOC(=O)CC(=O)c1ccc2c(c1)OCO2.c1ccc2cnccc2c1|0>>CCOC(=O)C(CC(OCC)c1nccc2ccccc12)C(=O)c1ccc2c(c1)OCO2
C#Cc1ccccc1.CCOc1ccc(N)cc1.O=O|3>>CCOc1ccc(NC(=O)Cc2ccccc2)cc1
C=CCCCCCCCC.CCOC(=O)C(F)(F)Br.Cc1ccc(C#CS(=O)(=O)C(F)(F)F)cc1|0>>CCCCCCCC[C@H](C#Cc1ccc(C)cc1)CC(F)(F)C(=O)OCC
C=Cc1ccc(OC)cc1.FB(F)F.[F-].[N-]=[N+]=N[Na].c1ccc(-c2cc(-c3ccccc3)[n+](C3CCOCC3)c(-c3ccccc3)c2)cc1|25>>COc1ccc(C(CN=[N+]=[N-])C2(c3ccccc3)C=C(c3ccccc3)N(C3CCOCC3)C(c3ccccc3)=C2)cc1
CC(=O)OC(C)=O.CC(C)(C)C1=CC(=Cc2cccc3ccccc23)C=C(C(C)(C)C)C1=O.F[B-](F)(F)C1CCCC1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|39>>CC(=O)Oc1c(C(C)(C)C)cc(C(c2cccc3ccccc23)S(=O)(=O)C2CCCC2)cc1C(C)(C)C
Cc1ccc(C(=O)/C=C/c2ccccc2)cc1.F[B-](F)(F)C1CCCC1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|0>>Cc1ccc(C(=O)CC(c2ccccc2)S(=O)(=O)C2CCCC2)cc1
C=Cc1ccc(Br)cc1.CS(C)=O.O=C(ON1C(=O)c2ccccc2C1=O)C1CCOCC1|0>>O=C(CC1CCOCC1)c1ccc(Br)cc1
C#Cc1ccc(F)cc1.CC1(OC(=O)C(=O)O[Cs])CCCCC1.O=Cc1ccc(Br)cc1|7>>CC1(/C=C(/c2ccc(F)cc2)c2ccc(C=O)cc2)CCCCC1
C=CCOc1ccccc1[N+]#N.CCCCO.F[B-](F)(F)F.[C-]#[O+]|43>>CCCCOC(=O)CC1COc2ccccc21
C[Si](C)(C)OC(=C(F)F)c1ccccc1.Cc1ccccc1[N+]#N.F[B-](F)(F)F.O=S(O[Na])OS(=O)O[Na]|0>>Cc1ccccc1S(=O)(=O)C(F)(F)C(=O)c1ccccc1
C1CCNCC1.CC(C)I.O=CCCc1ccccc1|8>>CC(C)C(CCc1ccccc1)N1CCCCC1
CCC(C)I.COc1ccc(N)cc1.Cc1cccc(C=O)c1|10>>CCC(C)C(Nc1ccc(OC)cc1)c1cccc(C)c1
C#Cc1ccc(C)cc1.CCNc1ccccc1.CO|3>>CCN(CC#Cc1ccc(C)cc1)c1ccccc1
C=CCCc1ccccc1.CNC.O=C1CCC(=O)N1Cl|24>>CN(C)CC(Cl)CCc1ccccc1
C/C=C\c1ccc(Cl)cc1.CCOC(=O)C(F)(F)Br.CS(C)=O|1>>CCOC(=O)C(F)(F)C(C)C(=O)c1ccc(Cl)cc1
C=Cc1ccc2ccccc2c1.CC(C)=O.C[Si](C)(C)C#N.FB(F)F.FC(F)(F)[s+]1c2ccccc2c2ccccc21.[F-]|0>>CC(C)(C#N)OC(CC(F)(F)F)c1ccc2ccccc2c1
C=Cc1cccc(Br)c1.CCOC(=O)C(C)Br.CS(C)=O|1>>CCOC(=O)C(C)CC(=O)c1cccc(Br)c1
CC(C)(C)ON=O.COc1ccc(N(C)C(=O)C#Cc2cccc(C)c2)cc1.COc1ccc(N)cc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|2>>COc1ccc(S(=O)(=O)C2=C(c3cccc(C)c3)C3(C=CC(=O)C=C3)N(C)C2=O)cc1
C=C(C)c1ccc(C(F)(F)F)cc1.C[Si](C)(C)N=[N+]=[N-].O=O|21>>CC(O)(CN=[N+]=[N-])c1ccc(C(F)(F)F)cc1
C=C(C(=O)OC)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C.Nc1cccc2[nH]nnc12.O=Cc1ccc(F)cc1|31>>COC(=O)[C@H](C[C@H](Nc1cccc2[nH]nnc12)c1ccc(F)cc1)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C
C=CCOc1ccccc1C(=C)c1ccccc1.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|0>>N#CCCCS(=O)(=O)CC1C=C(c2ccccc2)c2ccccc2OC1
C=C/C=C/c1ccccc1.CC(C)(C)CC(=O)O.CC(C)(C)OC(=O)ON=C1CCC1|9>>CC(C)(C)CC(=O)O[C@@H](/C=C/c1ccccc1)CCCCC#N
C=C(C(=O)OC)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C.COc1ccc(C=O)cc1.Nc1ccc(F)cc1|31>>COC(=O)[C@H](C[C@H](Nc1ccc(F)cc1)c1ccc(OC)cc1)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C
C=C(O[Si](C(C)C)(C(C)C)C(C)C)c1cccc(OC)c1.F[B-](F)(F)F.O=S(O[K])OS(=O)O[K].c1ccc(-c2cc(-c3ccccc3)[n+](C3CCCC3)c(-c3ccccc3)c2)cc1|0>>COc1cccc(C(=O)CS(=O)(=O)C2CCCC2)c1
C/C=C\c1cccc(I)c1.CS(C)=O.O=C1O[IH2](C(F)(F)F)c2ccccc21|0>>CC(C(=O)c1cccc(I)c1)C(F)(F)F
CC(=O)CC(C)=O.N#CCC#N.O=C1Nc2cccc(Br)c2C1=O|0>>CC(=O)C1=C(C)OC(N)=C(C#N)C12C(=O)Nc1cccc(Br)c12
C=C(CBr)c1ccccc1.F[B-](F)(F)C1CCCC1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|0>>C=C(CS(=O)(=O)C1CCCC1)c1ccccc1
C#Cc1cccc(C)c1.F[B-](F)(F)F.N#[N+]c1ccc([N+](=O)[O-])cc1.O=O.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|0>>Cc1cccc(C(=O)CS(=O)(=O)c2ccc([N+](=O)[O-])cc2)c1
C=C(NC(C)=O)c1cccs1.O=C(Cc1ccccc1)ON1C(=O)c2ccccc2C1=O.c1ccc2[nH]ccc2c1|29>>CC(=O)N[C@](CCc1ccccc1)(c1cccs1)c1c[nH]c2ccccc12
C#Cc1ccccc1.CC(C)[B-](F)(F)F.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|51>>CC(C)S(=O)(=O)/C=C/c1ccccc1
C=Cc1ccc(C(F)(F)F)cc1.CC#N.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.O|0>>CC(=O)NC(CC(F)(F)F)c1ccc(C(F)(F)F)cc1
CC[SiH](CC)CC.O=C=O.[C-]#[N+]c1ccc(C=C)cc1|0>>[C-]#[N+]c1ccc(C(C[Si](CC)(CC)CC)C(=O)O)cc1
CC(=O)OC(C)=O.COc1ccc(C=C2C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C2)cc1.F[B-](F)(F)C1CCCC1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2.[K+]|39>>COc1ccc(C(c2cc(C(C)(C)C)c(OC(C)=O)c(C(C)(C)C)c2)S(=O)(=O)C2CCCC2)cc1
C=Cc1ccccc1O.CC(C)O[n+]1ccccc1.CS(C)=CC(=O)c1ccc(F)cc1F.O=S(=O)([O-])C(F)(F)F|6>>CC(C)OC[C@H]1c2ccccc2OC1C(=O)c1ccc(F)cc1F
Cc1cc(C)c(O)c(C(C)(C)C)c1.Cc1ccc([N+]#N)cc1.F[B-](F)(F)F.O=S(O[Na])OS(=O)O[Na]|0>>Cc1ccc(S(=O)(=O)Cc2cc(C)c(O)c(C(C)(C)C)c2)cc1
C#Cc1ccc(F)cc1.CC(=O)c1ccc(Br)cc1.CC(C)(C)OC(=O)N1CCCC1C(=O)O|7>>CC(=O)c1ccc(/C(=C\C2CCCN2C(=O)OC(C)(C)C)c2ccc(F)cc2)cc1
C[SiH](C)C(C)(C)C.O=C=O.[C-]#[N+]c1ccc(C=C)cc1|36>>[C-]#[N+]c1ccc(C(C[Si](C)(C)C(C)(C)C)C(=O)O)cc1
C1CCNCC1.C=CCOCCCc1ccc(Cl)cc1.O=C1CCC(=O)N1Cl|24>>Clc1ccc(CCCOCC(Cl)CN2CCCCC2)cc1
O=C(O)CCCC(=O)c1ccccc1.O=C(ON1CCCCC1)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|22>>O=C(CCCS(=O)(=O)N1CCCCC1)c1ccccc1
C=CCCC(=O)Nc1ccc(Br)cc1.O=S(=O)(c1ccccc1)N(F)S(=O)(=O)c1ccccc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|1>>O=C1CCC(CS(=O)(=O)F)N1c1ccc(Br)cc1
C=C(C)c1ccccc1Br.Cc1ccc(S(=O)(=O)N[n+]2ccccc2)cc1.F[B-](F)(F)F|0>>CC1=NC(C)(c2ccccc2Br)CN1S(=O)(=O)c1ccc(C)cc1
C=CCCCCCCCC.CCOC(=O)C(F)(F)Br.O=S(=O)(C#Cc1ccc(Br)cc1)C(F)(F)F|0>>CCCCCCCC[C@H](C#Cc1ccc(Br)cc1)CC(F)(F)C(=O)OCC
Brc1ccc2cc[nH]c2c1.C=C(NC(C)=O)c1ccccc1.O=C(Cc1ccccc1)ON1C(=O)c2ccccc2C1=O|29>>CC(=O)N[C@](CCc1ccccc1)(c1ccccc1)c1c[nH]c2cc(Br)ccc12
COC(=O)N(C)S(=O)(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1.Cc1ccccc1-n1ccnc1C(=O)Cc1cccc(F)c1|0>>COC(=O)N(C)[C@@H](C(=O)c1nccn1-c1ccccc1C)c1cccc(F)c1
Cn1ccc2ccccc21.O=S(=O)(Cl)c1cc2ccccc2o1.[C-]#[O+]|0>>Cn1cc(C(=O)c2cc3ccccc3o2)c2ccccc21
C=CCCc1ccccc1.CC1(C)[C@@H]2CC[C@@H](CN)[C@H]1C2.O=C1CCC(=O)N1Cl|24>>CC1(C)[C@@H]2CC[C@@H](CNCC(Cl)CCc3ccccc3)[C@H]1C2
C1CCCCC1.Cc1cc(C)n(C(=O)/C=C/CC(C)C)n1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|14>>Cc1cc(C)n(C(=O)C[C@@H](CC(C)C)S(=O)(=O)C2CCCCC2)n1
C#Cc1ccccc1.COc1cc(OC)cc(S(=O)O[Na])c1.N#Cc1ccc(Br)cc1|5>>COc1cc(OC)cc(S(=O)(=O)/C=C(\c2ccccc2)c2ccc(C#N)cc2)c1
C=C(C)c1ccccc1.Cc1ccc(S(=O)O[Na])cc1.N#Cc1ccnc(-c2ccccc2)c1|0>>Cc1ccc(S(=O)(=O)CC(C)(c2ccccc2)c2ccnc(-c3ccccc3)c2)cc1
C=CC(C)=O.CC1(OC(=O)C(=O)O[Cs])CCCCC1|0>>CC(=O)CCC1(C)CCCCC1
COC(=O)c1ccc(C=O)cc1.F[B-](F)(F)C1CCCCC1.Nc1ccc(Cl)c(Cl)c1.[K+]|0>>COC(=O)c1ccc(C(Nc2ccc(Cl)c(Cl)c2)C2CCCCC2)cc1
C#Cc1ccc2[nH]ccc2c1.O=O.Oc1ccccc1|3>>O=C(c1ccc(O)cc1)c1ccc2[nH]ccc2c1
C#Cc1ccccc1Cl.CCOC(=O)C(Br)C(=O)OCC.COc1ccc(C#N)cc1.O|0>>CCOC(=O)C1(C(=O)OCC)C=C(c2ccccc2Cl)C(Nc2ccc(OC)cc2)O1
CCOC(=O)C(F)(F)F.CS(C)=O.CSC#CCCCc1ccccc1|0>>CCOC(=O)C(F)(F)/C(=C\SC)CCC(=O)c1ccccc1
C/C=C/c1ccc(O[Si](C)(C)C(C)(C)C)c(OC)c1.Cc1ccc(S(=O)O[Na])cc1.N#Cc1ccncc1|0>>COc1cc(C(c2ccncc2)C(C)S(=O)(=O)c2ccc(C)cc2)ccc1O[Si](C)(C)C(C)(C)C
C=CCC(CC=C)(C(=O)OCC)C(=O)OCC.COc1cc(Br)cc(OC)c1.O=S(O[Na])c1ccccc1|12>>CCOC(=O)C1(C(=O)OCC)CC(Cc2cc(OC)cc(OC)c2)C(CS(=O)(=O)c2ccccc2)C1
COC(=O)CC(C)=O.N#CCC#N.O=C1Nc2cc(Br)ccc2C1=O|0>>COC(=O)C1=C(C)OC(N)=C(C#N)C12C(=O)Nc1cc(Br)ccc12
Cc1cc(C)c(O)c(C)c1.F[B-](F)(F)F.N#[N+]c1cccc(Cl)c1.O=S(O[Na])OS(=O)O[Na]|0>>Cc1cc(CS(=O)(=O)c2cccc(Cl)c2)cc(C)c1O
C=CC(=O)OCCCC.CC(C)(C)[Si](C)(C)OCCCC=O.c1ccc(CNCc2ccccc2)cc1|0>>CCCCOC(=O)CCC(CCCO[Si](C)(C)C(C)(C)C)N(Cc1ccccc1)Cc1ccccc1
C=Cc1ccccc1NS(=O)(=O)c1ccccc1.CS(C)=CC(=O)c1ccccc1.Cc1ccc(S(=O)(=O)Cl)cc1|0>>Cc1ccc(S(=O)(=O)C[C@H]2c3ccccc3N(S(=O)(=O)c3ccccc3)C2C(=O)c2ccccc2)cc1
C=Cc1cccc(C)c1.CC[N+](CC)=C(C)/N=S(/c1ccccc1)C(F)(F)Br.CO.O=S(=O)([O-])C(F)(F)F|0>>COC(CC(F)(F)Br)c1cccc(C)c1
COc1ccc([N+]#N)cc1.Cc1ccc(S)cc1.F[B-](F)(F)F.O=S(O[Na])OS(=O)O[Na]|0>>COc1ccc(S(=O)(=O)Sc2ccc(C)cc2)cc1
C=Cc1cc2ccccc2s1.CO.FC(F)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]|0>>COC(CC(F)F)c1cc2ccccc2s1
C1CCNCC1.C=CCNS(=O)(=O)c1ccc(C)cc1.O=C1CCC(=O)N1Cl|24>>Cc1ccc(S(=O)(=O)NCC(Cl)CN2CCCCC2)cc1
O.O=S(=O)(Cl)c1cccc(C(F)(F)F)c1.c1ccc(C(=C2CC2)c2ccccc2)cc1|0>>O=S(=O)(c1cccc(C(F)(F)F)c1)C1(C(O)(c2ccccc2)c2ccccc2)CC1
CC(C)(C)ON=O.COc1ccc(N(C)C(=O)C#Cc2ccc(F)cc2)cc1.COc1ccc(N)cc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|2>>COc1ccc(S(=O)(=O)C2=C(c3ccc(F)cc3)C3(C=CC(=O)C=C3)N(C)C2=O)cc1
C=C(NC(C)=O)c1ccccc1.CC(C)(C)C(=O)ON1C(=O)c2ccccc2C1=O.c1ccc2[nH]ccc2c1|29>>CC(=O)N[C@](CC(C)(C)C)(c1ccccc1)c1c[nH]c2ccccc12
COc1cc(Br)c(C=O)cc1OC.FB(F)C1CCCCC1.Nc1ccccc1.[F-].[K+]|0>>COc1cc(Br)c(C(Nc2ccccc2)C2CCCCC2)cc1OC
C=C/C=C/c1ccccc1.CC(C)(C)OC(=O)N1CCC(C(=O)O)CC1.CC(C)(C)OC(=O)ON=C1CCC1|9>>CC(C)(C)OC(=O)N1CCC(C(=O)O[C@@H](/C=C/c2ccccc2)CCCCC#N)CC1
C=Cc1ccc2ccccc2c1.CCCC=O.C[Si](C)(C)N=[N+]=[N-].FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F|0>>CCCC(N=[N+]=[N-])OC(CC(F)(F)F)c1ccc2ccccc2c1
CC(C)I.CCCC=O.COc1ccc(CCNCc2ccccc2)cc1OC|8>>CCCC(C(C)C)N(CCc1ccc(OC)c(OC)c1)Cc1ccccc1
C=Cc1cccc(C)c1.Cc1ccc(S)cc1.O=C=O|27>>Cc1ccc(SC(CC(=O)O)c2cccc(C)c2)cc1
C#Cc1ccc2c(c1)OCO2.CC(C)(C)OC(=O)N1CCCC1C(=O)O|7>>CC(C)(C)OC(=O)N1CCCC1/C=C\c1ccc2c(c1)OCO2
C=Cc1cc(Cl)cc(Cl)c1O.CS(C)=CC(=O)c1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.O=S(=O)([O-])C(F)(F)F|26>>O=C(c1ccccc1)[C@@H]1Oc2c(Cl)cc(Cl)cc2C1CC(F)(F)F
C=Cc1ccc(-c2ccccc2)cc1.FC(F)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.O.[Br-]|0>>OC(CC(F)F)c1ccc(-c2ccccc2)cc1
C#Cc1cccc(F)c1.Cc1ccc(S(=O)O)cc1.N#Cc1ccc(Br)cc1|5>>Cc1ccc(S(=O)(=O)/C=C(/c2ccc(C#N)cc2)c2cccc(F)c2)cc1
BrC1CCC1.C=C(c1ccccc1)c1ccccc1N.O=C=O|0>>O=C1Nc2ccccc2C(CC2CCC2)(c2ccccc2)O1
C1CCNCC1.C=CCCc1ccccc1.O=C1CCC(=O)N1Cl|24>>ClC(CCc1ccccc1)CN1CCCCC1
C=Cc1ccc(C(C)(C)C)cc1.CC[N+](CC)=C(C)/N=S(/c1ccccc1)C(F)(F)Br.CO.O=S(=O)([O-])C(F)(F)F|0>>COC(CC(F)(F)Br)c1ccc(C(C)(C)C)cc1
